furniture n S2, W3
grab v S2, W3
folk n S2, W3
grade n S2, W3
grand adj S2, W3
head v S2, W2
force n S2, W1
force v S2, W1
forest n S2, W2
gap n S2, W2
forever adv S2, W3
grant n S2, W2
grant v S2, W2
heat n S2, W2
grass n S2, W2
form v S2, W1
formal adj S2, W2
gate n S2, W2
height n S2, W3
individual adj S2, W1
human adj S2, W1
individual n S2, W1
investment n S2, W1
invite v S2, W2
industry n S2, W1
involve v S2, W1
helpful adj S2, W3
involved adj S2, W3
iron n S2, W3
herself pron S2, W1
ice n S2, W3
hide v S2, W2
identify v S2, W1
jacket n S2, W3
highly adv S2, W2
hill n S2, W2
ignore v S2, W2
joint adj S2, W2
joke n S2, W3
hire v S2, W3
image n S2, W1
judge n S2, W2
history n S2, W1
immediately adv S2, W1
hold n S2, W3
jump v S2, W3
impossible adj S2, W2
insurance n S2, W2
impression n S2, W2
improve v S2, W1
intend v S2, W1
key n S2, W2
hope n S2, W2
inch n S2, W3
kick v S2, W3
including prep S2, W1
income n S2, W1
international adj S2, W1
internet n S2, W2
kind adj S2, W3
increase n S2, W1
increase v S2, W1
hotel n S2, W1
interview n S2, W2
knee n S2, W2
independent adj S2, W2
introduce v S2, W1
length n S2, W2
knowledge n S2, W1
marriage n S2, W2
married adj S2, W2
lesson n S2, W3
labour n S2, W1
massive adj S2, W3
loss n S2, W1
master n S2, W2
lad n S2, W3
library n S2, W1
lost adj S2, W3
match n S2, W2
loud adj S2, W3
lie v S2, W1
land v S2, W3
lift v S2, W2
light v S2, W3
luck n S2, W3
meal n S2, W2
lucky adj S2, W3
meaning n S2, W1
means n S2, W2
measure v S2, W2
late adv S2, W3
limit n S2, W2
meat n S2, W3
laugh v S2, W2
mad adj S2, W3
media n S2, W2
magazine n S2, W2
medical adj S2, W2
medicine n S2, W3
mainly adv S2, W2
list v S2, W3
maintain v S2, W1
lead n S2, W2
membership n S2, W2
leader n S2, W1
memory n S2, W1
majority n S2, W1
mental adj S2, W2
leaf n S2, W2
metal n S2, W2
lecture n S2, W3
loan n S2, W2
metre n S2, W3
map n S2, W2
legal adj S2, W1
lock v S2, W3
military adj S2, W1
milk n S2, W3
mark v S2, W2
noise n S2, W2
mine n S2, W3
minimum adj S2, W3
minor adj S2, W2
northern adj S2, W2
nose n S2, W2
name v S2, W2
mistake n S2, W2
mix v S2, W3
notice n S2, W2
natural adj S2, W1
operate v S2, W2
phone n S2, W3
model n S2, W1
near adj S2, W3
opposite prep S2, W2
necessarily adv S2, W2
necessary adj S2, W1
nurse n S2, W3
neck n S2, W2
order v S2, W2
negative adj S2, W2
neighbour n S2, W2
organization n S2, W1
neither adv S2, W3
obvious adj S2, W2
originally adv S2, W2
mostly adv S2, W3
occasionally adv S2, W3
mouse n S2, W3
mouth n S2, W1
newspaper n S2, W2
move n S2, W1
outside adj S2, W2
offer n S2, W1
muscle n S2, W3
oil n S2, W1
plastic n S2, W2
owe v S2, W3
plate n S2, W2
pension n S2, W2
own v S2, W2
owner n S2, W2
player n S2, W1
precisely adv S2, W3
prefer v S2, W2
pack n S2, W3
pack v S2, W3
pleased adj S2, W3
package n S2, W2
perfect adj S2, W2
pleasure n S2, W2
perfectly adv S2, W3
performance n S2, W1
pain n S2, W2
paint n S2, W2
pocket n S2, W2
present adj S2, W2
paint v S2, W3
permanent adj S2, W2
present n S2, W3
permission n S2, W3
present v S2, W1
pair n S2, W2
presentation n S2, W3
point v S2, W2
president n S2, W2
press n S2, W2
policeman n S2, W3
political adj S2, W1
pretend v S2, W3
pretty adj S2, W3
politics n S2, W2
prevent v S2, W1
pool n S2, W2
photograph n S2, W2
physical adj S2, W1
popular adj S2, W1
primary adj S2, W2
partly adv S2, W2
population n S2, W1
partner n S2, W2
principle n S2, W1
positive adj S2, W2
print v S2, W3
pass n S2, W3
possibility n S2, W2
priority n S2, W2
prison n S2, W2
post n S2, W2
path n S2, W2
pink adj S2, W3
prize n S2, W2
patient n S2, W1
pipe n S2, W3
pot n S2, W3
pattern n S2, W1
procedure n S2, W2
place v S2, W1
pour v S2, W3
payment n S2, W1
plain adj S2, W3
peace n S2, W2
plane n S2, W2
plant n S2, W1
practice n S2, W1
professional adj S2, W1
question v S2, W3
report n S2, W1
report v S2, W1
represent v S2, W1
progress n S2, W2
quiet adj S2, W2
promise v S2, W2
reference n S2, W1
requirement n S2, W2
quote v S2, W3
reflect v S2, W1
research n S2, W1
race n S2, W2
property n S2, W1
refuse v S2, W1
proportion n S2, W2
proposal n S2, W1
regard v S2, W1
propose v S2, W2
rail n S2, W2
railway n S2, W2
rain n S2, W2
protect v S2, W2
protection n S2, W2
regular adj S2, W2
resource n S2, W1
proud adj S2, W3
prove v S2, W1
regulation n S2, W2
respond v S2, W2
relate v S2, W1
responsibility n S2, W1
related adj S2, W3
responsible adj S2, W2
relation n S2, W1
pub n S2, W3
restaurant n S2, W2
public n S2, W2
relatively adv S2, W2
reaction n S2, W2
release v S2, W2
relevant adj S2, W2
relief n S2, W2
retire v S2, W3
religion n S2, W2
return v S2, W1
religious adj S2, W2
return n S2, W2
pupil n S2, W1
reality n S2, W2
review n S2, W2
purpose n S2, W2
reasonably adv S2, W3
remove v S2, W1
rich adj S2, W2
recent adj S2, W1
rent n S2, W3
rent v S2, W3
ride v S2, W2
repeat v S2, W2
replace v S2, W1
queen n S2, W2
recommend v S2, W2
settle v S2, W2
scene n S2, W2
schedule n S2, W3
rise v S2, W1
scheme n S2, W1
risk n S2, W1
river n S2, W2
rock n S2, W2
score n S2, W2
role n S2, W1
shape n S2, W2
roof n S2, W2
screen n S2, W2
root n S2, W2
rough adj S2, W3
sea n S2, W1
skill n S2, W1
skin n S2, W2
sheep n S2, W3
sky n S2, W2
season n S2, W1
seat n S2, W1
sleep n S2, W3
row n S2, W2
slight adj S2, W3
ship n S2, W2
shirt n S2, W3
secretary n S2, W1
shock n S2, W2
slow adj S2, W2
shoot v S2, W2
rush v S2, W3
shopping n S2, W3
smart adj S2, W2
seek v S2, W1
smell n S2, W3
sad adj S2, W3
shot n S2, W2
smell v S2, W3
safe adj S2, W2
smile n S2, W2
safety n S2, W2
select v S2, W2
shoulder n S2, W2
shout v S2, W2
sake n S2, W3
self n S2, W3
smoke v S2, W2
salary n S2, W3
salt n S2, W3
snow n S2, W3
separate adj S2, W2
sight n S2, W2
separate v S2, W2
sign v S2, W2
series n S2, W1
signal n S2, W2
soft adj S2, W2
seriously adv S2, W2
significant adj S2, W1
session n S2, W2
solution n S2, W1
scale n S2, W2
solve v S2, W3
stair n S2, W3
survey n S2, W2
survive v S2, W2
suspect v S2, W3
somehow adv S2, W2
standard adj S2, W2
standard n S2, W2
star n S2, W2
sweet adj S2, W3
study n S2, W3
study v S2, W2
statement n S2, W1
switch v S2, W3
style n S2, W1
statistic n S2, W3
subject n S2, W1
source n S2, W1
southern adj S2, W2
tail n S2, W3
successful adj S2, W1
step n S2, W1
speaker n S2, W2
tall adj S2, W2
sudden adj S2, W3
